,review_no,discount_text
23887,3425546,"get the unit in it's box up the 6 steps to the house. Thankfully someone else mentioned they'd unloaded it from the box and transported the pieces to the set up area.<br />Was able to carry all the various handles and bars except the main frame w/ the motor. It's a bugger and weighs a bunch. Mr. Wonderful was able to bring it in and set the machine up for me in under an hour w/ little difficulty.<br />I can't get over how out of shape I really am after several minutes on it. I thought my lower body was in pretty good shape and my legs fairly strong. Boy was I wrong.<br />My thighs are fairly sore after day 3 of using the unit, but getting better and easier to add time to my work out each day.<br />It's great cardio, I'm a heavy smoker and tend to carry my weight waist and up.<br />I really like the different work outs and the machine give little prompts, \\""faster, quicker steps\\"", \\""longer strides\\"", etc.<br />The motivational prompts are nice too. No cheery voice telling you to keep it up, good job etc. Scrolling prompts keep me motivated and remind me to speed up, slow down, etc.<br />The units foot print is larger than my treadmill that folded in half and was pretty small when not in use. The widest part is at the front feet. It's set up in my over crowded bedroom and I've only tried to break a toe on it once in the middle of the night so far. A pillow at that foot reminds me it's there and I stop before I bang into the frame.<br />Forget moving it once it's in place. It does have a handle at the back but it's pretty tough to pick up high enough to use the wheels in front to roll it around. I was able to pick it up but not sure how far I would be able to get it w/o injury to either my back or foot when I dropped it.<br />The cup holder is huge and bright red. It sure doesn't blend in but is certainly big enough for a water bottle, phone, remote etc.<br />I was skeptical about the wee fan. It's set more towards your body than face where I want it but has 3 speeds and does more than I thought it would.<br />Other review"
24058,62017,"get professional productions. Highly recommended.<br /><br />By the way, one final thing I should mention is that Adobe has a very talented team of professionals who create the help files for each of the programs and who are active in the support forums, and available to give artistic and technical support.  Nearly any problem you might face has been asked about and answered on the Adobe Forums, and any question that is posted gets a quick response.  Plus, as suggested above, there are hosts of amateur and professional users who have posted advice and video tutorials for free"
24069,1868007,"got a coupon in the Sunday paper for the new women's vitamins. I went to the drug store to get the vitamins when I noticed the hair flakes. Preferring Amazon's return policy over my drug store's I ordered this. I'm glad I did. The fibers are easy to apply --just shake 'n go. They even stay in place for days (assuming you don't wash them out). The directions say to spray a little hair spray for added protection, but I only did it for rainy days and I'm not sure I really needed to do that then. I'm trying to get my hair that I somehow lost in droves to come back and I worried about the flakes clogging my roots. I don't have the impression at all that the fibers are doing that. I found the price to be very affordable-- not much less expensive than the drug store, but with Amazon Prime's free"
24217,2494722,"got this unit several days ago and have been extremely happy with it. I have a large aquarium in my apartment and single pane windows, so as soon as it gets cold out I get massive condensation, to the point of damaging the wood frames. I have had several other compressor dehumidifiers and they are loud and energy hogs. My last one last about a year before breaking and nearly catching fire. This little unit is much smaller, lighter, and quieter. Unbelievable quiet when run in &#34;eco&#34; mode which has keep my window condensation free"
24544,1104012,"given this product's limitations.<br /><br />Range: Yes range isn't very good if you live in a house. We tend to stay near or in the same room as our sleeping baby so this hasn't been an issue for us. However, this is probably an issue for most families who don't live in either an apartment or condo. If this was a wi-fi device, this wouldn't be a problem.<br /><br />Speakers: When the mat is only powered by four AA's, this is a really dumb feature. I'd rather not have the Safe to Sleep mat run out of power for as long as possible. People can play timed music on almost any other device so this is a dumb feature.<br /><br />[Misc]<br /><br />Buy this from Amazon and you won't have issues with product returns if you're a long time customer. This goes for any other item as well. Whenever I break this rule just to save a few dollars or get something a few weeks before Amazon has it, I always regret it. I also don't understand why people who break this rule like Unix would complain about that in a product review"
26628,1888200,"Got the items and thought WOW, kinda small, eh?  Like many review"
27229,2800342,provided test unit for impartial review
27949,747419,"receive a unit with a similar zipper problem such as mine.<br /><br />- Once set up, my cats could not figure out how to get in or out of the unit.  One cat kept trying to get in from outside the tent netting.  Once he finally got in he started bouncing off the tent because he was scared of the netting. After a few minutes he calmed down.<br /><br />- My other cats had to be coaxed in and out but once they were in they seemed to enjoy it. It just took about 30 minutes for the cats to get used to it. If I had a yard or patio, I know they would have enjoyed it.<br /><br />- My biggest concern is that it's not easy to get the cats out of the tent especially with the tunnel attached. My four cats were intent on staying in there and two of them were a bit unsure how to get out.  If I were to have set this up outside, I can see where I would have a problem extracting the cats from the Happy Habitat as I'd probably have to climb through the tent hole.  While in my house, I had to manipulate the netting to sort of squeeze them out.<br /><br />If using this outdoors, I recommend supervising the cats. Their nails could rip through the tent if a fight breaks out with multiple cats in an enclosed setting. Also, wild animals can attack them if left unsupervised.<br /><br />Attaching the tunnel itself is a bother and for that reason I recommend this complete compound with reservations. I see that there's an [[ASIN:B002KWHE1E ABO Gear Happy Habitat for Indoor Cats]] (without the tunnel) that is about $24 cheaper. I would recommend that for those who are purchasing this as an outdoor enclosure for their indoor cats without the play element of a tunnel. However, for those who want to add a little bit extra fun to the Happy Habitat, then this is a good purchase. I think the currently listed price of $72.34 is reasonable.  Also, there's no reason the tunnel cannot be used in the house as just a play tunnel and the tent used for outside the house.  I also think this compound could probably be used for small dogs as well.<br /><br />This gets 3.7 stars from me and 4.5 stars from my 4 cats.<br /><br />PS Amazon apparently changed the way images are posted.  I took several pictures with my 4 cats in this compound.  I attached the instructions on  how to view them in the comments section of this review"
28090,588244,given this item to test and review
28766,9097,given this product for the purposes of review
29015,1959583,sent promotional products from VTech for review
29359,2868248,"receive this item via the Amazon Vine Program because it is something that I really needed, given that I have a beard and mustache.  This clipper is very powerful, which makes it very easy to trim my mustache in particular; a mustache can be tricky to style unless a clipper does not have to \\""work hard\\"" to cut through these coarse hairs easy.  This clipper comes with numerous attachments.  While I have not used all of them, it is fair to say that these give the clipper the ability to pretty much satisfy all of one's beard and mustache trimming needs.<br /><br />This is a \\""handy\\"" little trimmer to hold and operate.  It is basic but ergonomic.<br /><br />My only issue with this trimmer is the built-in rechargeable battery.  In the past after a couple of years these batteries stop holding a charge, rendering the trimmer defunct.  Obviously I just received this unit and cannot comment on this issue here.  Put simply, I tend to prefer a trimmer that accepts AA batteries simply because eliminates this issue.  I am imagining that the built-in battery entails higher voltage than AA batteries would provide which means more power to the blades.<br /><br />While I received this free"
29728,234049,get this product to test and review
30407,1194618,given this product to review
30739,953764,provided a unit for review
30840,3218853,provided this item for review
30872,3244070,sent this item for free
31315,1932545,"given this product a 5-star except that the installation instruction is flawed. I can understand why most people will quickly return it claiming it doesn't work. The video and manual instructions make it look like a 'piece of cake' to do. Far from it except if your router is the same as the default type in the video or manual. While it took me at least an hour of intensely trying to get to the bottom of the whole thing, I got it to work. Simply, I wanted it to work. If you are not fond of electronics, it could be really frustrating.<br /><br />For me, I had to google the problem I was having because it was not in their FAQs, and luckily there are more than a dozen people asking the same question. I will suggest the manufacturer update it's manual to reflect all issues most people are facing. Their FAQs, video and paper instructions must include other types of routers. Their website forum page is a joke and need modernization. They make too much money to have that kind of antiquated forum page.<br /><br />Anyway, the installation is done and I can now receive full bars in all previously dead zones in my house. In fact, I am writing this review"
